      7445|2016-05-19|00|     11420|     35858|     22388                       
      7446|2016-05-19|01|     77677|     17432|      3299                       
      7447|2016-05-19|02|     55326|     10839|      8987                       
      7448|2016-05-19|03|     23140|     10108|   0.22711                       
      7449|2016-05-19|04|     18252|     11253|      2901                       
      7450|2016-05-19|05|     16290|     13676|      3514                       
      7451|2016-05-19|06|     21684|     16180|      5793                       
      7452|2016-05-19|07|     27011|     21000|     10724                       
      7453|2016-05-19|08|     43290|     25885|      9684                       
      7454|2016-05-19|09|     44354|     26715|      8751                       
      7455|2016-05-19|10|     39424|     26055|      7768                       
      7456|2016-05-19|11|     31764|     22043|      7000                       
      7457|2016-05-19|12|     29878|     18638|      5741                       
      7458|2016-05-19|13|     31791|     19795|      6220                       
      7459|2016-05-19|14|     32325|     19810|      8122                       
      7460|2016-05-19|15|     28275|     19531|      7881                       
      7461|2016-05-19|16|     25997|     20066|      9804                       
      7462|2016-05-19|17|     20702|     19832|      8355                       
      7463|2016-05-19|18|     18810|     19396|      5728                       
      7464|2016-05-19|19|     18896|     25373|      5384                       
      7465|2016-05-19|20|     18765|     17341|      4654                       
      7466|2016-05-19|21|     17900|     16941|     15018                       
      7467|2016-05-19|22|     13270|     13820|     11925                       
      7468|2016-05-19|23|     60576|     30197|      7966  
